Month-Year,Operating Profit
2020-01,5830009.0
2020-02,5207361.0
2020-03,5862009.0
2020-04,9301302.0
2020-05,5870848.0
2020-06,2292728.0
2020-07,4917674.0
2020-08,7338929.0
2020-09,7119707.0
2020-10,4139466.0
2020-11,2783479.0
2020-12,2712198.0
2021-01,19311961.0
2021-02,16185404.0
2021-03,14577799.0
2021-04,18257976.0
2021-05,24075439.0
2021-06,24422006.0
2021-07,29137256.0
2021-08,27112540.0
2021-09,23889923.0
2021-10,20938999.0
2021-11,21972071.0
2021-12,28878038.0
2022-01,31098105.0256024
2022-02,28437713.344400484
2022-03,29531428.298867248
2022-04,30150174.16255659
2022-05,29931733.3165872
2022-06,28070566.812811513
2022-07,29533897.509107437
2022-08,29379690.488767385
2022-09,29590656.226796813
2022-10,31174761.246739216
2022-11,29995627.422390807
2022-12,27533384.486792877
